16 Feb 2023 | 06:05:00,193 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#103, Id: 103, Priv: 0, Sess: 203.200.25.244:59302 ) , SessionLen: 32007, Type: Unity / .Net
16 Feb 2023 | 06:05:00,194 | INFO  | SFSWorker:Ext:4 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:05:23,968 | INFO  | http-nio-8080-exec-6 | Extensions |     | {BackendExtension}: Himanshu -- inside handleInternalMessage 
16 Feb 2023 | 06:26:24,088 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 111, Type: DEFAULT, Logged: No, IP: 203.200.25.244:56929 } on Server port: 9933 <---> 56929
16 Feb 2023 | 06:26:24,737 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#104, Id: 104, Priv: 0, Sess: 203.200.25.244:56929 ) , Type: Unity / .Net
16 Feb 2023 | 06:27:08,939 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 111, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:56929 }
16 Feb 2023 | 06:27:08,939 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#104, Id: 104, Priv: 0, Sess: 203.200.25.244:56929 ) , SessionLen: 44202, Type: Unity / .Net
16 Feb 2023 | 06:27:08,939 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:31:51,698 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 112, Type: DEFAULT, Logged: No, IP: 203.200.25.244:52846 } on Server port: 9933 <---> 52846
16 Feb 2023 | 06:31:52,357 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#105, Id: 105, Priv: 0, Sess: 203.200.25.244:52846 ) , Type: Unity / .Net
16 Feb 2023 | 06:32:22,580 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 112, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:52846 }
16 Feb 2023 | 06:32:22,580 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#105, Id: 105, Priv: 0, Sess: 203.200.25.244:52846 ) , SessionLen: 30223, Type: Unity / .Net
16 Feb 2023 | 06:32:22,580 | INFO  | SFSWorker:Ext:3 | Extensions |     | {BackendExtension}: user gone handler called 
